,n_sense
俎,0
侷,0
冑,0
剃,1
剌,0
剋,2
匍,0
叛,0
哂,0
咽,0
咻,0
咿,0
囿,0
垠,0
垣,0
垢,4
垮,5
奕,0
契,0
姘,0
姨,3
姪,3
姦,2
宣,0
宥,0
屎,6
屍,0
峒,0
弈,0
徊,0
律,8
徇,0
徉,0
怠,0
恍,3
恆,4
恃,0
恪,2
恤,0
拼,5
拱,5
拷,4
括,0
拴,0
挂,0
斫,0
昭,0
昧,0
曷,0
柿,0
柩,0
柄,6
柑,0
柚,2
殃,0
殆,4
氟,1
津,0
洽,0
洛,0
洩,5
洵,0
炫,0
炬,0
炭,4
爰,3
牲,0
牴,3
玲,0
甭,2
畏,3
疫,0
疤,3
疥,0
疣,0
癸,4
盃,4
盅,3
盹,1
矜,0
砂,1
砌,0
祈,0
禹,2
竽,0
籽,0
紂,1
耑,0
胚,0
胄,0
胞,0
胝,0
苛,0
茄,0
茁,0
苔,2
苑,0
苞,0
苟,0
苯,0
虐,2
虹,0
衍,0
衫,1
貞,0
軌,8
迦,0
迪,0
迥,0
迭,0
迨,2
郎,5
閂,3
陋,5
陌,0
革,0
韭,0
俬,0
剉,6
厘,0
茍,0
垛,0
姝,0
姵,0
屌,3
彖,0
挎,0
挌,0
昵,2
昴,0
柸,0
枷,0
枳,0
毘,0
洒,0
洃,0
洏,0
炷,0
畈,0
眈,0
眊,0
紈,0
胜,0
胍,0
苖,0
苵,0
衎,0
衪,0
恒,0
倣,0
倦,3
俸,0
倩,0
倆,0
倔,1
倨,2
倡,0
倭,0
俾,0
倉,0
冤,3
冥,0
冢,2
凋,0
剖,2
剜,0
剔,0
匪,3
叟,1
哨,0
唁,1
哲,2
唆,0
哺,0
唔,0
哮,0
唧,0
哽,2
唏,0
埔,0
埃,0
娜,0
娛,3
姬,0
娩,0
宰,7
宵,2
宸,0
屑,4
峭,0
峻,0
崁,0
庫,0
恙,0
恣,0
悄,0
悍,0
悌,0
悖,0
捎,0
振,6
捂,0
捆,0
挽,0
挪,8
挫,9
晉,11
晏,0
晌,0
晁,0
朔,0
桂,4
桔,0
桐,0
桀,0
桅,1
栓,0
桁,0
殊,0
殉,0
氧,0
氨,1
氦,1
浦,0
浙,3
浬,0
涔,0
烘,2
烙,4
狹,3
狸,0
玆,0
琉,0
畜,5
疾,2
症,3
疲,2
疽,0
疹,1
痂,0
眩,0
矩,3
砧,0
砸,5
砷,0
砥,0
砲,10
祠,0
祗,0
祚,0
秤,2
秧,0
秩,0
秘,0
紐,11
紛,0
罟,0
耆,0
耙,3
耗,0
耽,0
脂,4
胰,0
脅,0
脆,4
脊,2
胯,0
舀,0
舐,0
荊,0
荐,0
茵,0
茲,0
茹,0
茗,1
蚤,1
袂,0
衹,0
訌,0
訊,0
豈,0
豺,0
豹,3
貢,0
軒,0
辱,1
迺,0
迸,0
郡,0
