,n_sense
冼,1
郁,1
茅,1
霍,1
桑,1
亓,1
邰,1
闞,1
酆,1
寇,1
忻,1
鄢,1
佟,1
屠,1
郤,1
甄,1
廉,1
鈕,1
卞,2
鞏,1
溪,3
洋,5
套,17
偏,12
參,10
肆,4
伍,6
拾,3
柒,2
捌,2
玖,2
院,5
請,10
先,7
個,11
歪,7
鹹,4
傻,5
安,19
鞋,2
疼,4
汗,3
井,8
酸,14
琴,7
譜,10
添,9
功,9
射,9
稅,2
冒,0
病,13
禪,6
碰,10
清,38
鐵,22
藏,14
英,8
略,9
訪,6
生,31
訂,6
爸,4
只,8
跪,1
滾,11
密,8
滑,6
旗,5
稿,2
巷,2
鬆,15
綁,8
遷,3
攻,9
摔,12
印,15
舞,4
押,6
活,16
急,8
占,9
飯,4
球,10
佳,3
幹,15
竹,6
畫,16
穿,5
學,11
漏,4
歲,11
使,13
逝,5
醜,5
弦,11
野,8
探,12
闢,4
抬,6
砍,7
踏,6
象,9
靜,8
臭,7
濃,10
繞,7
香,8
補,17
傷,14
娶,1
炒,6
師,10
晚,10
肥,20
豬,5
躍,6
害,8
停,9
樓,5
矮,7
瘦,14
烤,6
測,3
抗,7
正,33
弱,8
增,3
騙,2
剩,1
解,17
樂,10
純,5
種,13
彎,8
蹲,9
入,20
西,12
搞,0
船,3
辦,8
圖,5
黨,0
送,13
讀,8
悶,8
格,23
閒,5
齊,0
棄,7
斜,4
巧,5
字,13
件,10
條,34
無,5
位,10
盛,10
橫,15
震,9
臥,5
雜,5
碎,6
笙,1
巨,5
煩,7
肺,2
兇,6
痣,1
哥,5
玉,6
淚,3
戒,6
錶,2
附,4
搬,5
慘,3
餅,5
鎮,9
淡,10
搖,8
福,3
環,14
緊,14
拜,10
購,1
鬼,9
擠,6
捕,4
土,9
貓,6
出,17
廟,4
抽,21
救,5
床,4
跌,8
逃,3
牌,14
勝,6
陪,3
穩,9
肩,8
詩,2
換,5
係,2
供,10
狼,5
趕,13
賞,7
們,2
卻,1
縮,11
尖,11
浪,5
飽,13
賊,5
餓,5
限,0
佛,8
躲,3
癌,2
貨,3
獎,4
慢,4
情,9
苦,16
島,4
歌,4
獲,2
媽,9
指,10
加,15
詞,7
低,14
放,37
仍,2
更,5
陷,6
奔,6
鏡,5
呆,9
喘,5
眉,5
鍵,2
碼,9
烈,8
塔,3
拔,5
撥,12
降,16
帳,7
傘,5
醒,12
製,4
形,10
殼,4
徵,10
甜,12
牽,13
夾,12
返,2
記,12
持,6
兵,7
瞧,0
槍,8
駐,0
爬,11
細,22
網,13
破,30
罵,2
夢,3
牆,2
舊,6
話,0
名,15
再,6
也,15
乖,3
嫁,2
露,6
鋼,2
乘,13
鴨,3
糧,1
乏,4
敗,7
針,10
拖,15
煮,4
旅,8
羊,5
特,7
追,13
累,8
騎,3
缺,7
戲,5
註,2
嘴,6
城,6
改,9
酒,2
選,6
美,9
強,14
站,7
要,13
久,2
帶,39
者,2
吼,4
歇,2
爹,2
辣,7
途,4
告,5
巢,3
迎,1
毒,10
捧,10
寶,8
棒,7
糖,2
掉,15
滲,2
減,7
胖,5
響,7
亮,20
失,9
燈,6
報,10
刀,7
雞,5
戰,12
紙,5
鄉,7
借,4
賺,3
藥,4
稍,4
痛,5
遊,8
跳,20
哭,2
忙,4
赴,1
採,5
屬,0
深,17
臉,3
做,20
性,5
車,10
項,6
已,1
鹿,3
腎,1
寒,9
填,7
備,8
廳,3
布,9
港,12
劍,3
窮,8
街,3
南,7
欲,5
願,3
鮮,7
麵,5
墓,2
蚊,1
銅,8
踩,5
瞪,3
踢,7
糟,8
科,11
拆,6
君,6
暗,16
明,25
投,30
鬧,7
領,10
煤,1
軸,5
靈,9
滅,9
畔,2
聚,3
跨,10
插,8
筆,9
犯,9
掛,23
舉,7
亂,12
東,8
菜,9
茶,5
達,8
愛,17
鷹,3
精,15
笨,8
粗,21
斷,9
演,7
士,8
佔,8
住,4
寫,9
場,13
捲,10
渡,6
負,17
誘,2
孝,4
素,8
息,9
割,6
揭,8
充,11
枯,10
祭,10
麻,14
災,4
司,3
典,6
容,9
怒,6
是,9
本,25
嗎,3
貧,6
熬,2
澡,2
婦,3
懸,8
莖,6
娘,11
慣,4
憂,2
傾,9
勇,6
魔,7
猴,6
皺,3
蒸,7
缸,5
棋,8
爐,3
鈴,6
菸,3
煎,6
晒,5
喚,8
獸,2
輯,3
務,4
慧,0
逗,8
盲,9
謹,2
溝,4
划,3
梳,3
窩,12
逆,7
窯,4
鵝,4
裂,5
鉅,3
堪,0
饒,5
導,0
殘,9
遮,5
削,6
撈,5
兔,4
框,9
攜,5
蓮,4
膽,4
眨,2
臂,0
飾,4
咳,3
覓,2
偽,8
否,3
蔥,3
銷,5
憤,1
澆,2
估,3
驗,3
嫩,9
帽,2
襯,4
繪,1
棚,1
舟,3
哉,3
揉,3
櫃,5
弊,2
摟,1
燃,6
籃,5
姿,4
脈,11
咚,1
腔,4
葬,5
爆,14
映,5
慌,2
庭,3
懶,2
敘,7
揀,2
愣,4
階,8
姊,4
溼,7
闊,5
亭,2
宴,3
恥,2
遺,10
覽,2
困,6
赤,10
孤,15
炎,2
阻,4
勉,3
趣,4
蕉,4
礦,4
灣,5
材,10
坡,2
昏,6
牧,4
勃,2
咪,0
威,7
竿,5
徑,1
珠,6
荒,10
訓,5
椅,1
筋,4
構,5
嬌,5
璃,0
糕,2
辯,2
讚,4
弓,15
伐,2
汙,7
吱,4
杆,11
芳,4
芽,2
娃,4
洲,2
研,5
郊,1
俯,2
峽,2
悔,2
甍,0
紗,4
啄,6
婆,11
媚,2
暑,3
渾,17
稀,7
傲,3
愧,1
滔,1
誇,2
徹,0
碧,2
翠,3
貌,4
障,3
嘻,1
閱,3
鋸,2
豔,5
丸,5
旦,2
劣,2
匠,2
宅,4
妝,2
技,4
岡,3
拘,2
泣,2
拭,1
浴,4
紡,3
紋,2
躬,2
迴,1
啞,5
崖,2
悠,2
晨,1
梯,5
淘,5
寓,4
慨,3
描,4
敦,1
棉,3
欺,2
湧,4
絮,7
喵,2
楓,1
猿,1
頑,3
遙,3
隙,10
嘲,1
慰,2
摩,1
蝴,0
賢,5
輝,2
憶,2
橘,6
螢,1
踱,2
盪,12
艱,2
邁,7
霞,2
礙,2
譏,2
灘,4
鷗,1
鷺,1
國,7
身,7
級,5
際,6
店,1
縣,1
子,21
型,3
桌,8
權,5
腦,6
側,0
昨,2
村,5
館,7
境,4
食,9
機,6
族,6
軍,8
卡,22
超,7
父,3
妻,2
桿,12
恐,2
園,4
罪,5
味,7
岸,2
役,10
勢,7
嘆,3
驚,5
制,5
界,7
刊,5
箱,4
麼,3
婚,2
鍋,3
價,3
廢,9
桶,3
逛,1
述,1
扛,2
判,8
料,13
串,14
置,6
農,7
奪,6
客,12
險,7
友,5
姐,4
誤,5
譯,1
瘸,0
目,9
瓷,4
捨,5
議,3
卵,3
額,5
盒,3
袋,6
醉,11
暫,2
泥,7
獅,3
預,3
劑,4
蝦,2
盆,3
呼,7
扶,7
鎖,12
證,5
執,0
財,1
兄,3
輩,9
祝,4
狀,5
責,3
疑,3
擊,12
妹,4
拋,6
捏,7
賭,2
悲,5
播,5
夕,2
攤,13
罐,2
沖,12
盞,3
護,4
繫,4
偶,7
疊,13
蝶,4
駕,3
警,3
准,2
擇,1
愁,2
仿,4
眠,4
禍,3
幸,0
披,5
湊,4
辭,9
暖,14
扯,8
睜,1
勁,10
丈,3
轟,5
柱,5
燙,11
興,0
亡,5
誠,3
鼠,6
菌,1
影,11
敵,4
欄,7
虧,8
汁,3
寺,6
癢,2
灌,20
掩,7
蟹,2
聖,8
扮,4
究,2
迫,3
辨,2
墳,2
鼓,9
色,8
常,7
敍,7
污,7
瞠,0
瞟,0
瞥,0
磬,0
禦,0
穎,0
窺,4
篙,0
篤,0
篡,0
篩,0
霎,0
霑,0
霓,0
靦,0
鞘,0
頰,0
頷,3
頹,0
頤,0
餡,2
餚,0
駭,0
骼,0
髻,1
髭,0
鬨,0
鴛,0
黔,0
噠,0
圜,0
壆,0
憨,0
暾,0
殫,0
濇,0
潞,0
瞝,0
縠,0
縋,0
蕎,0
螓,0
褰,0
謔,0
諡,0
踼,0
踰,0
遶,0
鍺,0
鍆,0
閾,0
閹,0
鮀,0
鮓,0
鴞,0
鴝,0
麈,0
銹,4
墻,0
償,0
嚎,0
綏,0
罩,0
羨,1
腥,0
腮,0
腺,0
艇,0
蒂,0
葷,4
葦,0
萼,0
葡,0
葩,0
虜,4
蛹,1
蜇,0
蛾,0
蛻,0
蜂,2
蜆,0
裙,0
裘,2
裕,0
詫,0
誅,0
詭,0
詢,1
詮,0
詬,0
賄,0
貲,0
賃,3
賂,0
跡,0
跺,0
跤,0
軾,0
辟,0
煲,0
瑋,0
瑗,0
痹,0
瘐,0
睚,0
祼,0
稗,0
筤,0
筴,0
粴,0
綃,0
腧,1
艄,0
葑,0
葸,0
葯,0
觥,0
誆,0
豤,0
跩,2
遄,0
鄋,0
酮,0
酯,0
鈮,0
鉆,0
鉭,0
鉬,1
頏,0
碁,0
僚,0
僕,0
僑,0
僱,1
凳,1
劃,1
匱,2
厭,0
嘛,0
嗽,3
嘔,0
嘍,0
嘎,0
嗷,0
嘖,0
嘈,0
嗶,0
墊,6
壽,0
夥,0
奩,0
嫖,0
嫣,0
熔,2
熙,0
煽,0
熄,7
爾,0
獄,4
獐,0
瑤,0
瑪,0
瘧,0
瘍,0
瘉,0
瞄,0
睽,0
磁,0
碟,0
禎,0
竭,0
箕,0
箋,0
筵,0
箔,0
箏,0
箸,0
箇,0
粽,2
綻,0
綰,0
綜,2
綴,5
綱,0
鳳,7
鑑,8
檢,7
鱗,3
霸,6
燭,7
鎗,10
鄴,3
錘,6
颯,2
蔚,4
蚌,0
蠱,4
騷,6
攢,2
籍,5
綺,0
綢,0
綵,0
綸,0
緒,0
翡,0
肇,0
膀,0
膏,0
臧,0
舔,1
蒿,1
蓆,1
蓄,5
蒞,0
蒜,2
蓓,0
蒐,0
韶,0
颱,1
餌,0
餉,0
駁,0
魂,4
鳶,0
嘜,0
嘁,0
幘,0
慳,0
慬,0
戧,0
摶,4
撂,0
摜,0
榶,0
槎,0
榖,0
槊,0
漥,0
漶,0
熏,0
熗,0
獃,0
瞅,0
瞀,0
碴,0
箐,0
箍,0
粿,0
綹,0
蒔,0
蜱,0
裱,0
裾,0
覡,0
誒,0
踉,0
踊,0
踅,0
鄜,0
酹,0
銥,0
鉶,0
銫,0
銣,1
僻,0
僵,0
儉,0
凜,0
歎,0
殤,0
毅,0
毆,0
漿,0
潑,4
潛,0
潸,0
澎,2
潰,0
潤,11
澗,0
熨,0
牖,0
犛,0
瑩,0
瘠,0
瘤,0
瘡,0
瞎,5
瞇,0
瞋,0
磋,0
磅,0
磊,0
碾,2
磕,0
稼,0
稽,0
篆,0
糊,0
締,0
緯,0
緻,0
緬,0
緝,0
緞,0
翩,0
膛,2
膜,0
膚,1
膘,0
蔽,0
駛,0
髯,0
魅,0
魄,3
鴉,2
齒,0
儆,0
噌,0
噁,2
噉,0
噘,0
噚,0
嘸,0
墬,0
嶢,0
憋,5
憒,0
撖,0
撅,0
撣,0
敻,0
樗,0
澇,0
熵,0
璇,0
璊,0
瞉,0
磉,0
窳,0
緡,0
舖,1
蔫,0
蓴,0
蔘,0
蝎,0
蝯,0
褔,0
踮,0
鋏,0
鋌,0
靚,0
髫,0
魴,0
魨,0
鴅,0
鼐,0
儒,0
凝,0
勳,0
噙,0
噹,2
噤,0
噪,0
噱,0
噬,0
縈,0
縛,3
縐,0
罹,2
羲,0
翰,0
耨,0
膳,0
膩,0
膨,0
臻,0
艙,0
蕊,0
蕈,0
蕨,0
蕃,0
蕪,3
螟,0
衡,0
褪,8
褲,0
褥,0
褡,0
諺,0
諱,3
諧,0
諾,0
謁,0
諷,0
諭,0
諳,0
豫,0
蹄,0
踹,0
踵,0
輻,0
遵,1
遴,0
錠,0
錳,0
錫,3
錐,0
嚐,3
壕,0
壑,0
壎,0
嬰,1
嬤,2
孺,0
屨,0
嶼,2
嶺,3
彌,0
徽,0
懇,0
擎,0
擰,0
擱,7
擢,0
斂,0
斃,3
曖,0
檀,0
檔,11
檜,0
檐,0
殮,0
氈,1
濘,0
濱,0
濛,0
濤,0
濫,0
濯,0
澀,0
濡,0
濮,0
燧,0
燦,0
燥,0
燬,0
燴,0
爵,0
璩,0
療,0
瞳,0
瞬,3
瞭,3
矯,0
磷,1
磺,0
礁,0
禧,2
穗,0
簇,0
簍,0
篾,0
篷,0
簌,0
篠,0
糠,0
糞,4
績,0
繆,0
縷,0
繃,0
翳,0
聰,0
聳,3
膺,0
臀,2
膿,2
膾,0
蕾,0
薑,0
薊,0
蟑,0
蟒,0
螫,0
螺,0
襄,0
覬,0
謗,0
謙,0
謊,2
謠,0
謄,0
蹈,0
轄,0
輾,0
轂,0
輿,0
遽,0
醣,0
鍍,0
鎂,0
錨,0
鍊,0
鍥,0
鍬,0
鍛,0
鍚,0
鍔,0
瀑,0
燻,0
燼,0
獷,0
璧,3
甕,0
癖,1
癘,0
癒,0
瞻,0
穢,0
穠,0
竄,0
竅,2
簫,0
簧,0
簪,0
簞,0
簣,1
繚,0
罈,0
職,0
臍,0
薩,0
藐,0
薰,0
蟬,0
觴,0
謬,0
謫,0
贅,0
蹙,0
蹦,4
蹤,0
蹟,0
軀,0
轍,5
邇,0
邈,0
醬,0
釐,0
鎊,0
鎢,1
鎳,0
鎘,1
鎚,3
闔,0
禱,0
穫,0
簾,0
簿,0
簽,0
簷,0
籀,0
繭,0
繹,0
羶,0
羹,0
臘,0
藩,0
藪,0
藕,0
蟻,0
蠅,0
蠍,0
襟,0
襖,0
譁,0
贊,0
蹼,0
蹬,0
蹴,0
轎,0
醮,0
鏟,0
鏈,0
鏢,0
鏘,0
鏤,0
鏗,0
靡,0
韜,0
韻,0
顛,0
鬍,0
鯨,0
鯖,0
鯛,1
鵲,2
鵬,0
麴,0
瀧,0
糬,0
蠋,0
蠆,0
覷,0
蹭,0
饌,0
饋,0
鰈,1
鶗,0
鶚,0
鶖,0
齙,0
囂,0
懼,2
懾,0
櫻,2
殲,0
犧,0
矓,0
籐,0
羼,0
蠢,6
蠟,3
襪,3
譽,0
贓,0
醺,0
鐮,0
鐳,0
鐲,0
鐫,3
霹,0
顥,0
饗,0
驅,9
驀,0
騾,0
鰭,0
鶯,0
鶴,0
麝,0
黯,0
儺,0
櫸,0
甗,0
籓,0
罍,0
鐻,0
鐪,0
闥,0
飆,0
鬘,0
鶵,0
鶺,0
鶲,0
囊,0
巔,0
巒,0
黴,0
巘,0
攥,3
欏,0
蘼,0
讌,0
讋,1
鱒,1
鷸,0
鷲,0
鷭,0
齱,0
囑,0
壩,0
攬,3
癱,4
癲,0
矗,0
羈,0
蠶,0
蠹,0
讒,0
讖,0
艷,0
贛,2
釀,0
鑪,0
靄,0
驟,0
鬢,0
鱟,0
鹼,0
囍,0
鑫,0
鱣,0
籬,0
籮,0
鑲,0
鑰,3
顱,0
饞,0
髖,0
鬣,0
纛,0
躥,0
鱭,0
驢,2
纜,0
鑼,0
鱷,0
讞,0
顴,0
鸕,0
鑿,0
虌,0
驪,0
闋,0
闌,0
隸,0
鞠,0
騁,0
駿,0
鮪,0
鮭,0
鴻,0
鴿,0
麋,0
黜,0
黛,0
鼾,0
齋,0
嚓,0
擤,0
檥,0
橿,0
獮,0
甑,0
癈,0
癉,0
皤,0
磻,0
簋,0
臌,0
臊,0
蕗,0
螯,0
蟄,0
謅,0
醢,0
醛,0
鎃,0
隰,0
餱,0
鮨,0
嚮,0
壘,0
嬸,0
彝,0
戳,4
擴,0
擲,3
擾,0
攆,0
擷,0
檻,0
檮,0
檯,0
歟,0
殯,0
瀉,0
瀋,0
濾,0
瀆,0
濺,0
雛,0
鞣,1
鞭,6
顎,0
颺,0
餾,0
鬃,0
鯊,2
鯉,2
鯽,1
黠,0
鼬,0
嚙,2
曛,0
瀦,0
甓,0
簟,0
聵,0
蟳,1
貘,0
蹚,0
蹩,0
鎝,1
闓,0
鞮,0
餼,0
騅,0
鬈,0
鯁,0
鮸,0
鵒,0
黟,0
懲,0
懵,0
攀,0
曠,0
曝,5
櫥,0
櫓,0
瀚,0
瀝,0
瀕,3
爍,0
獺,0
璽,0
瓊,0
瓣,0
疆,0
癟,0
癡,6
矇,3
蹻,0
醰,0
鏇,0
鯪,0
鯤,0
鯢,0
鯗,0
鯡,1
鵷,0
鵰,0
鶅,0
鶇,0
嚨,0
嚷,2
壤,0
孃,1
孽,0
懺,0
攘,0
攔,4
攙,0
瓏,0
礫,0
竇,0
競,0
籌,5
糯,0
糰,0
辮,0
艦,0
藻,1
藹,0
藺,0
蘊,0
蠔,1
蠕,0
譬,0
譟,0
躉,0
躁,0
鏽,4
饑,0
馨,0
鰓,1
鰍,1
齡,4
攖,0
瀹,0
蠖,0
襦,0
譪,0
鐐,0
瓤,0
癮,2
癬,0
籟,0
聾,2
臟,0
襲,0
贖,0
轡,0
鑄,0
鑒,8
韁,1
顫,0
驕,2
鬚,0
鱉,0
鰻,0
欉,0
鬻,0
鰹,0
鰲,0
鷚,1
龕,0
巖,0
攫,2
竊,0
纖,0
纔,0
蘸,0
蘿,0
鑠,0
靨,0
饜,0
驛,0
髓,0
鱔,0
麟,0
鬱,0
鸛,2
鸞,0
鸝,1
籲,1
喩,0
够,0
莞,0
藜,0
蔾,0
稷,0
槲,0
菱,0
楮,0
梓,0
莓,0
喱,0
錒,0
氬,0
鈹,0
鉲,0
鋦,0
鏑,0
鑀,0
鉺,0
銪,0
鐨,0
鈁,0
釓,0
鎵,0
鉿,0
鈥,0
銦,0
氪,0
鑭,0
鐒,0
鎦,0
釹,0
氖,0
錼,0
鈳,0
鋨,0
釙,0
鐠,0
鏷,0
氡,0
錸,0
銠,0
釕,0
釤,0
鈧,0
鋱,0
鉈,0
釷,0
銩,0
釩,0
氙,0
鐿,0
釔,0
鋯,0
酐,0
氰,0
銼,0
魟,0
癰,0
鷂,0
鵟,0
蚶,0
鴇,0
鸏,0
貉,0
蚋,0
蚧,0
麂,0
獾,0
骹,0
狨,0
鱈,0
頦,0
跖,0
哞,0
窪,0
岬,0
鋇,0
溴,0
鈰,0
碲,0
鉍,0
醚,0
碇,0
褶,0
楔,0
轅,0
齁,0
瘋,4
硍,1
凎,1
肏,1
尻,2
