"","character","frequency","stroke_num","scaled_freq"
"10956","""彃""",9,14,-0.130269793791428
"10957","""慔""",9,14,-0.130269793791428
"10958","""慛""",9,14,-0.130269793791428
"10959","""慖""",9,14,-0.130269793791428
"10960","""摲""",9,14,-0.130269793791428
"10961","""摓""",9,14,-0.130269793791428
"10962","""摿""",9,14,-0.130269793791428
"10963","""斠""",9,14,-0.130269793791428
"10964","""榱""",9,14,-0.130269793791428
"10965","""榎""",9,14,-0.130269793791428
"10966","""榯""",9,14,-0.130269793791428
"10967","""槄""",9,14,-0.130269793791428
"10968","""槏""",9,14,-0.130269793791428
"10969","""殟""",9,14,-0.130269793791428
"10970","""殠""",9,14,-0.130269793791428
"10971","""漊""",9,14,-0.130269793791428
"10972","""煻""",9,14,-0.130269793791428
"10973","""獌""",9,14,-0.130269793791428
"10974","""甀""",9,14,-0.130269793791428
"10975","""瞂""",9,14,-0.130269793791428
"10976","""硾""",9,14,-0.130269793791428
"10977","""禖""",9,14,-0.130269793791428
"10978","""穊""",9,14,-0.130269793791428
"10979","""稯""",9,14,-0.130269793791428
"10980","""綧""",9,14,-0.130269793791428
"10981","""緁""",9,14,-0.130269793791428
"10982","""緅""",9,14,-0.130269793791428
"10983","""蒮""",9,15,-0.130269793791428
"10984","""蒛""",9,14,-0.130269793791428
"10985","""蜙""",9,14,-0.130269793791428
"10986","""蜭""",9,14,-0.130269793791428
"10987","""蜸""",9,14,-0.130269793791428
"10988","""覟""",9,14,-0.130269793791428
"10989","""誙""",9,14,-0.130269793791428
"10990","""賗""",9,14,-0.130269793791428
"10991","""跿""",9,14,-0.130269793791428
"10992","""踆""",9,14,-0.130269793791428
"10993","""跾""",9,14,-0.130269793791428
"10994","""踄""",9,14,-0.130269793791428
"10995","""鄜""",9,14,-0.130269793791428
"10996","""酳""",9,14,-0.130269793791428
"10997","""銪""",9,14,-0.130269793791428
"10998","""銈""",9,14,-0.130269793791428
"10999","""銙""",9,14,-0.130269793791428
"11000","""鉾""",9,14,-0.130269793791428
"11001","""銇""",9,14,-0.130269793791428
"11002","""韎""",9,14,-0.130269793791428
"11003","""餀""",9,14,-0.130269793791428
"11004","""馺""",9,14,-0.130269793791428
"11005","""骱""",9,14,-0.130269793791428
"11006","""魡""",9,14,-0.130269793791428
"11007","""鳱""",9,14,-0.130269793791428
"11008","""儇""",9,15,-0.130269793791428
"11009","""嘽""",9,15,-0.130269793791428
"11010","""壿""",9,15,-0.130269793791428
"11011","""嫷""",9,15,-0.130269793791428
"11012","""嬃""",9,15,-0.130269793791428
"11013","""緳""",9,15,-0.130269793791428
"11014","""廞""",9,15,-0.130269793791428
"11015","""徲""",9,15,-0.130269793791428
"11016","""憢""",9,15,-0.130269793791428
"11017","""憉""",9,15,-0.130269793791428
"11018","""摮""",9,15,-0.130269793791428
"11019","""撖""",9,15,-0.130269793791428
"11020","""撱""",9,15,-0.130269793791428
"11021","""暲""",9,15,-0.130269793791428
"11022","""橀""",9,15,-0.130269793791428
"11023","""槶""",9,15,-0.130269793791428
"11024","""澉""",9,15,-0.130269793791428
"11025","""澂""",9,15,-0.130269793791428
"11026","""漀""",9,15,-0.130269793791428
"11027","""潫""",9,15,-0.130269793791428
"11028","""潧""",9,15,-0.130269793791428
"11029","""潣""",9,15,-0.130269793791428
"11030","""瑽""",9,15,-0.130269793791428
"11031","""磏""",9,15,-0.130269793791428
"11032","""磑""",9,15,-0.130269793791428
"11033","""禠""",9,15,-0.130269793791428
"11034","""箷""",9,15,-0.130269793791428
"11035","""箯""",9,15,-0.130269793791428
"11036","""緷""",9,15,-0.130269793791428
"11037","""緦""",9,15,-0.130269793791428
"11038","""膣""",9,15,-0.130269793791428
"11039","""膗""",9,15,-0.130269793791428
"11040","""蔏""",9,15,-0.130269793791428
"11041","""蔍""",9,15,-0.130269793791428
"11042","""蓪""",9,15,-0.130269793791428
"11043","""蔰""",9,15,-0.130269793791428
"11044","""蝯""",9,15,-0.130269793791428
"11045","""蝺""",9,15,-0.130269793791428
"11046","""褅""",9,14,-0.130269793791428
"11047","""褌""",9,14,-0.130269793791428
"11048","""諃""",9,15,-0.130269793791428
"11049","""諙""",9,15,-0.130269793791428
"11050","""踣""",9,15,-0.130269793791428
